Film_Type,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
Romance,1492,467,1600000,32,0,2,4,50000,32,800,5/31/2018,5,2,31
Romance,1492,191,1500000,30,0,3,1.8999999999999999,50000,30,1579,5/31/2018,5,2,31
Romance,1492,169,1100000,11,0,2,5.3099999999999996,100000,11,207,5/31/2018,5,2,31
Romance,1492,352,960000,12,0,4,1.95,80000,12,615,5/31/2018,5,2,31
Romance,1492,266,880000,11,0,3,2.2799999999999998,80000,11,482,5/31/2018,5,2,31
Romance,1492,529,780000,10,0,2,10.640000000000001,78000,10,94,5/31/2018,5,2,31
Romance,1492,201,770000,11,0,2,1.74,70000,11,632,5/31/2018,5,2,31
Romance,1492,204,700000,10,0,8,0.40999999999999998,70000,10,2439,5/31/2018,5,2,31
Romance,1492,162,660000,13,0,4,2.8300000000000001,50769.230770000002,13,459,5/31/2018,5,2,31
Romance,1492,509,400000,8,0,1,3.1099999999999999,50000,8,257,5/31/2018,5,2,31
Romance,1492,506,240000,6,0,1,1.5,40000,6,400,5/31/2018,5,2,31
Romance,1492,43,240000,6,0,3,0.44,40000,6,1364,5/31/2018,5,2,31
Romance,1492,457,60000,2,0,3,0.22,30000,2,909,5/31/2018,5,2,31
Romance,1492,304,4640000,51,0,3,11.56,90980.392160000003,51,441,5/30/2018,5,2,30
Romance,1492,344,3670000,38,0,2,12.84,96578.947369999994,38,296,5/30/2018,5,2,30
Romance,1492,489,3140000,34,0,3,26.98,92352.941179999994,34,126,5/30/2018,5,2,30
Romance,1492,163,3000000,29,0,3,22.309999999999999,103448.27589999999,29,130,5/30/2018,5,2,30
Romance,1492,448,2700000,18,0,1,9.4700000000000006,150000,18,190,5/30/2018,5,2,30
Romance,1492,56,2680000,67,0,3,28.629999999999999,40000,67,234,5/30/2018,5,2,30
Romance,1492,191,1500000,30,0,3,1.8999999999999999,50000,30,1579,5/30/2018,5,2,30
Romance,1492,352,1460000,13,0,3,2.8500000000000001,112307.6923,13,456,5/30/2018,5,2,30
Romance,1492,201,1330000,19,0,2,3,70000,19,633,5/30/2018,5,2,30
Romance,1492,467,1150000,23,0,2,2.8799999999999999,50000,23,799,5/30/2018,5,2,30
