Film_Type,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
Romance,1492,304,3900000,26,0,4,4.2599999999999998,150000,26,610,43225,5,2,5
Romance,1492,352,3360000,42,0,5,8.0800000000000001,80000,42,520,43225,5,2,5
Romance,1492,489,2560000,32,0,4,20,80000,32,160,43225,5,2,5
Romance,1492,429,1200000,12,0,1,11.01,100000,12,109,43225,5,2,5
Romance,1492,524,1200000,15,0,3,16.670000000000002,80000,15,90,43225,5,2,5
Romance,1492,71,1050000,7,0,3,0.97999999999999998,150000,7,714,43225,5,2,5
Romance,1492,163,1020000,10,0,3,7.6900000000000004,102000,10,130,43225,5,2,5
Romance,1492,450,750000,5,0,3,1.5700000000000001,150000,5,318,43225,5,2,5
Romance,1492,51,750000,11,0,2,0.94999999999999996,68181.818180000002,11,1158,43225,5,2,5
Romance,1492,522,600000,4,0,3,1.55,150000,4,258,43225,5,2,5
Romance,1492,43,480000,6,0,3,0.44,80000,6,1364,43225,5,2,5
Romance,1492,529,480000,4,0,3,2.96,120000,4,135,43225,5,2,5
Romance,1492,82,400000,5,0,6,0.53000000000000003,80000,5,943,43225,5,2,5
Romance,1492,344,300000,2,0,3,0.25,150000,2,800,43225,5,2,5
Romance,1492,73,240000,2,0,1,2.04,120000,2,98,43225,5,2,5
Romance,1492,304,16500000,112,0,4,18.329999999999998,147321.42860000001,112,611,43224,5,2,4
Romance,1492,352,13950000,93,0,5,10.57,150000,93,880,43224,5,2,4
Romance,1492,344,10200000,68,0,3,8.5399999999999991,150000,68,796,43224,5,2,4
Romance,1492,71,6600000,44,0,3,6.1399999999999997,150000,44,717,43224,5,2,4
Romance,1492,163,3360000,31,0,3,24.800000000000001,108387.0968,31,125,43224,5,2,4
Romance,1492,522,3000000,20,0,3,7.75,150000,20,258,43224,5,2,4
Romance,1492,485,2400000,16,0,3,11.59,150000,16,138,43224,5,2,4
Romance,1492,524,1800000,12,0,3,13.33,150000,12,90,43224,5,2,4
Romance,1492,518,1680000,14,1,3,8.4800000000000004,120000,13,165,43224,5,2,4
Romance,1492,51,1400000,17,0,1,2.9300000000000002,82352.941179999994,17,580,43224,5,2,4
Romance,1492,448,1350000,9,0,2,2.3700000000000001,150000,9,380,43224,5,2,4
Romance,1492,429,1200000,12,0,1,11.01,100000,12,109,43224,5,2,4
Romance,1492,450,1050000,7,0,2,3.2999999999999998,150000,7,212,43224,5,2,4
Romance,1492,489,900000,6,0,3,5,150000,6,120,43224,5,2,4
Romance,1492,43,880000,11,0,3,0.81000000000000005,80000,11,1358,43224,5,2,4
Romance,1492,431,720000,6,0,2,11.539999999999999,120000,6,52,43224,5,2,4
Romance,1492,529,600000,5,0,2,5.5599999999999996,120000,5,90,43224,5,2,4
Romance,1492,82,160000,2,0,6,0.20999999999999999,80000,2,952,43224,5,2,4
Romance,1492,304,16500000,110,0,4,18,150000,110,611,43223,5,2,3
Romance,1492,163,6060000,54,0,4,32.729999999999997,112222.2222,54,165,43223,5,2,3
Romance,1492,344,5400000,36,0,3,4.5199999999999996,150000,36,796,43223,5,2,3
Romance,1492,71,4350000,29,3,3,4.04,150000,26,718,43223,5,2,3
Romance,1492,352,3450000,29,0,6,2.75,118965.5172,29,1055,43223,5,2,3
Romance,1492,51,2700000,31,0,3,1.78,87096.774189999996,31,1742,43223,5,2,3
Romance,1492,448,2700000,18,0,2,9.6799999999999997,150000,18,186,43223,5,2,3
Romance,1492,429,2200000,22,0,1,20.18,100000,22,109,43223,5,2,3
Romance,1492,522,1650000,11,0,3,4.2599999999999998,150000,11,258,43223,5,2,3
Romance,1492,524,1500000,10,0,3,11.109999999999999,150000,10,90,43223,5,2,3
Romance,1492,43,1280000,16,0,3,1.1699999999999999,80000,16,1368,43223,5,2,3
Romance,1492,450,900000,6,0,2,2.8300000000000001,150000,6,212,43223,5,2,3
Romance,1492,485,600000,4,0,3,2.8999999999999999,150000,4,138,43223,5,2,3
Romance,1492,82,320000,4,0,6,0.41999999999999998,80000,4,952,43223,5,2,3
Romance,1492,489,300000,2,0,3,1.6699999999999999,150000,2,120,43223,5,2,3
Romance,1492,518,300000,5,0,3,3.0299999999999998,60000,5,165,43223,5,2,3
Romance,1492,304,12600000,84,0,4,13.75,150000,84,611,43222,5,2,2
Romance,1492,71,8100000,54,0,3,7.5300000000000002,150000,54,717,43222,5,2,2
Romance,1492,448,4350000,29,0,2,7.9199999999999999,150000,29,366,43222,5,2,2
Romance,1492,163,4080000,35,0,4,21.210000000000001,116571.4286,35,165,43222,5,2,2
Romance,1492,489,3080000,21,0,3,17.5,146666.6667,21,120,43222,5,2,2
Romance,1492,344,3000000,21,0,3,2.6400000000000001,142857.14290000001,21,795,43222,5,2,2
Romance,1492,51,2800000,32,0,3,1.8400000000000001,87500,32,1739,43222,5,2,2
Romance,1492,450,2700000,20,0,3,6.29,135000,20,318,43222,5,2,2
Romance,1492,485,2100000,14,0,3,10.140000000000001,150000,14,138,43222,5,2,2
Romance,1492,522,1950000,13,0,3,5.04,150000,13,258,43222,5,2,2
Romance,1492,429,1800000,18,0,3,4.2599999999999998,100000,18,423,43222,5,2,2
Romance,1492,524,900000,6,0,3,3.9199999999999999,150000,6,153,43222,5,2,2
Romance,1492,431,720000,6,0,2,11.539999999999999,120000,6,52,43222,5,2,2
Romance,1492,43,640000,8,0,4,0.78000000000000003,80000,8,1026,43222,5,2,2
Romance,1492,72,240000,2,0,1,1.98,120000,2,101,43222,5,2,2
Romance,1492,82,240000,3,0,6,0.32000000000000001,80000,3,938,43222,5,2,2
Romance,1492,304,3750000,29,0,3,6.5800000000000001,129310.34480000001,29,441,43226,5,2,6
