Film_Type,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
Romance,1492,304,3900000,26,0,4,4.2599999999999998,150000,26,610,43225,5,2,5
Romance,1492,352,3360000,42,0,5,8.0800000000000001,80000,42,520,43225,5,2,5
Romance,1492,489,2560000,32,0,4,20,80000,32,160,43225,5,2,5
Romance,1492,429,1200000,12,0,1,11.01,100000,12,109,43225,5,2,5
Romance,1492,524,1200000,15,0,3,16.670000000000002,80000,15,90,43225,5,2,5
Romance,1492,71,1050000,7,0,3,0.97999999999999998,150000,7,714,43225,5,2,5
Romance,1492,163,1020000,10,0,3,7.6900000000000004,102000,10,130,43225,5,2,5
Romance,1492,450,750000,5,0,3,1.5700000000000001,150000,5,318,43225,5,2,5
Romance,1492,51,750000,11,0,2,0.94999999999999996,68181.818180000002,11,1158,43225,5,2,5
Romance,1492,522,600000,4,0,3,1.55,150000,4,258,43225,5,2,5
Romance,1492,43,480000,6,0,3,0.44,80000,6,1364,43225,5,2,5
Romance,1492,529,480000,4,0,3,2.96,120000,4,135,43225,5,2,5
Romance,1492,82,400000,5,0,6,0.53000000000000003,80000,5,943,43225,5,2,5
Romance,1492,344,300000,2,0,3,0.25,150000,2,800,43225,5,2,5
Romance,1492,73,240000,2,0,1,2.04,120000,2,98,43225,5,2,5
Romance,1492,304,16500000,112,0,4,18.329999999999998,147321.42860000001,112,611,43224,5,2,4
